ID,AGE_HEAD,AGE_SPOUSE,SEX_HEAD,SEX_SPOUSE,EDU_HEAD,EDU_SPOUSE,OCC_HEAD,OCC_SPOUSE,STATE,MARITAL,HOUSEHOLD_SIZE,CHILDREN,SPOUSE_PRESENT,WEIGHT,INCOME,HEAD_LABOR,SPOUSE_LABOR,WEEKS_HEAD,WEEKS_SPOUSE,WEEKS_OUT_HEAD,WEEKS_OUT_SPOUSE,EXP,GAS,FOOD_HOME,FOOD_DELIV,FOOD_OUT,RENT,EDUC_EXP,CHILDCARE,TRIPS,WEALTH,HOUSE_VALUE,MORTGAGE,MORT_PAY,HOME_EQUITY,BUSINESS_VAL,PROPERTY_TAX
54.99999999999999,53.99999999999999,49.99999999999999,1,2,11.999999999999998,13.999999999999998,4849.999999999998,0,23.999999999999996,1,4,1,1,54126.51199999998,71029.99999999997,51999.999999999985,0,51.99999999999999,0,0,51.99999999999999,51330.99999999998,839.9999999999999,10399.999999999996,2599.9999999999995,1439.9999999999995,0,24.999999999999996,0,2999.999999999999,121499.99999999994,149999.99999999997,57999.99999999998,8026.389999999998,91999.99999999996,0,1799.9999999999998
56.99999999999999,70.99999999999999,0,2,0,13.999999999999998,0,0,0,21,4,1,0,0,46404.49999999998,30893.99999999999,0,0,0,0,51.99999999999999,0,11048.999999999996,479.99999999999994,2079.9999999999995,0,1039.9999999999998,0,0,0,799.9999999999999,548999.9999999999,141999.99999999994,0,0,141999.99999999994,0,1099.9999999999998
57.99999999999999,26.999999999999996,22,1,2,11.999999999999998,11,8964.999999999998,3599.9999999999995,18.999999999999996,2,4,2,1,7392.175999999998,54999.99999999998,31999.99999999999,22999.99999999999,51.99999999999999,51.99999999999999,0,0,29149.999999999985,1199.9999999999998,5199.999999999999,0,599.9999999999999,3959.9999999999986,0,4499.999999999999,299.99999999999994,999.9999999999997,0,0,0,0,0,0
58.99999999999999,70.99999999999999,72.99999999999999,1,2,15.999999999999998,16.999999999999996,3299.9999999999986,0,28.999999999999996,1,2,0,1,20088.174999999992,109851.99999999996,2299.999999999999,0,51.99999999999999,0,0,51.99999999999999,24259.99999999999,959.9999999999999,3119.9999999999995,0,3899.9999999999986,0,0,0,1499.9999999999995,2069999.999999999,274999.99999999994,0,0,274999.99999999994,0,1899.9999999999993
60.99999999999999,71.99999999999999,71.99999999999999,1,2,16.999999999999996,16.999999999999996,204.99999999999997,4759.999999999999,6,1,2,0,1,13269.808999999994,180999.99999999994,0,7999.999999999997,51.99999999999999,51.99999999999999,0,0,93550,959.9999999999999,4159.999999999998,0,7799.999999999997,0,0,0,5999.999999999998,9670999.999999994,1499999.9999999993,0,0,1499999.9999999993,1999999.999999999,3999.9999999999986
61.99999999999999,62.99999999999999,0,1,0,11.999999999999998,0,0,0,31.999999999999996,2,1,0,0,10822.501999999997,7543.999999999997,0,0,0,0,51.99999999999999,0,11620.999999999998,239.99999999999997,1819.9999999999998,0,0,6119.999999999997,0,0,0,-4999.999999999999,0,0,0,0,0,0
62.99999999999999,85,0,1,0,11.999999999999998,0,0,0,47,3,1,0,0,48849.86499999997,35752.999999999985,0,0,0,0,51.99999999999999,0,6961.999999999997,239.99999999999997,1299.9999999999998,0,299.99999999999994,0,0,0,0,181999.99999999994,159999.99999999997,0,0,159999.99999999997,0,699.9999999999999
63.99999999999999,63.99999999999999,54.99999999999999,1,2,15.999999999999998,13.999999999999998,429.99999999999994,5239.999999999999,42,1,2,0,1,1520.0629999999996,73599.99999999997,33599.999999999985,39999.999999999985,51.99999999999999,51.99999999999999,0,0,18618.459999999992,479.99999999999994,1559.9999999999998,0,119.99999999999999,0,0,0,0,156999.99999999997,149999.99999999997,7999.999999999997,7399.999999999999,141999.99999999994,0,599.9999999999999
64.99999999999999,37.99999999999999,0,1,0,15.999999999999998,0,1019.9999999999997,0,11.999999999999998,2,1,0,0,32494.39199999999,200019.99999999994,199999.99999999994,0,51.99999999999999,0,0,0,87399.99999999994,1799.9999999999998,18199.999999999996,0,0,0,0,0,11999.999999999995,324999.9999999999,349999.9999999999,159999.99999999997,12799.999999999995,189999.99999999994,4999.999999999999,4299.999999999999
66.99999999999999,29.999999999999996,0,1,0,16.999999999999996,0,6229.999999999999,0,40.99999999999999,2,1,0,0,12001.007999999994,34009.999999999985,33999.999999999985,0,51.99999999999999,0,0,0,23917.669999999987,599.9999999999999,6499.999999999998,0,259.99999999999994,7799.999999999997,0,0,1499.9999999999995,5499.999999999999,0,0,0,0,0,0
